,M
0,-1157
1,-1056
2,-1274
3,-1571
4,-1529
5,-1719
6,-2184
7,-2265
8,-2070
9,-2170
10,-2516
11,-2205
12,-1739
13,-2025
14,-1797
15,-1159
16,-907
17,-874
18,-890
19,-888
20,-639
21,-429
22,-386
23,-260
24,-403
25,-587
26,-816
27,-1093
28,-1362
29,-1542
30,-1400
31,-1441
32,-1634
33,-1766
34,-1925
35,-1665
36,-1524
37,-1618
38,-1619
39,-1305
40,-968
41,-1121
42,-1284
43,-1024
44,-564
45,-360
46,-476
47,-196
48,35
49,-196
50,-445
51,-897
52,-882
53,102
54,92
55,598
56,1934
57,1748
58,2045
59,1899
60,1724
61,1844
62,1554
63,1604
64,1481
65,1437
66,1499
67,1488
68,1495
69,1458
70,1485
71,1401
72,1480
73,1535
74,1123
75,746
76,577
77,447
78,393
79,232
80,-64
81,-55
82,-29
83,-118
84,-10
85,185
86,557
87,1170
88,1575
89,1743
90,1786
91,1892
92,2246
93,2491
94,2414
95,2412
96,2264
97,2152
98,1969
99,1934
100,2141
101,2081
102,2079
103,1942
104,1705
105,1631
106,1750
107,1558
108,1353
109,1123
110,1082
111,1220
112,1087
113,845
114,749
115,861
116,832
117,657
118,561
119,431
120,492
121,518
122,460
123,151
124,-279
125,-160
126,-134
127,-363
128,-503
129,-511
130,-265
131,122
132,117
133,62
134,89
135,15
136,228
137,317
138,47
139,144
140,202
141,160
142,185
143,238
144,382
145,369
146,488
147,636
148,544
149,665
150,840
151,625
152,515
153,491
154,531
155,460
156,417
157,508
158,761
159,900
160,925
161,1015
162,927
163,589
164,456
165,339
166,186
167,76
168,-163
169,-290
170,-504
171,-844
172,-681
173,-546
174,-590
175,-564
176,-506
177,-397
178,-383
179,-270
180,-68
181,-318
182,-522
183,-706
184,-859
185,-946
186,-944
187,-951
188,-1064
189,-1160
190,-1208
191,-1261
192,-1174
193,-882
194,-832
195,-542
196,-487
197,-441
198,-358
199,-384
200,-286
201,-455
202,-448
203,-145
204,-345
205,-505
206,-467
207,-575
208,-595
209,-571
210,-454
211,-499
212,-343
213,-211
214,-581
215,-707
216,-301
217,-106
218,-252
219,-290
220,-53
221,0
222,142
223,399
224,419
225,661
226,872
227,796
228,785
229,425
230,350
231,681
232,400
233,15
234,-385
235,-761
236,-793
237,-1051
238,-1100
239,-1142
240,-1130
241,-987
242,-1007
243,-676
244,-528
245,-178
246,412
247,395
248,241
249,260
250,290
251,411
252,438
253,354
254,230
255,161
256,231
257,391
258,386
259,490
260,576
261,630
262,512
263,467
264,496
265,488
266,520
267,639
268,866
269,921
270,1096
271,1201
272,1087
273,1362
274,1404
275,1243
276,1347
277,1293
278,1281
279,1198
280,1159
281,1267
282,1321
283,1248
284,1159
285,1247
286,1296
287,1396
288,1581
289,1643
290,1611
291,1399
292,1450
293,1344
294,1079
295,854
296,869
297,665
298,189
299,-64
300,-107
301,-227
302,-374
303,-521
304,-762
305,-810
306,-896
307,-892
308,-1061
309,-1233
310,-1152
311,-1294
312,-1314
313,-1148
314,-1175
315,-1169
316,-1032
317,-1018
318,-582
319,-367
320,-468
321,-160
322,-141
323,-130
324,-128
325,-261
326,-32
327,39
328,4
329,84
330,139
331,267
332,317
333,460
334,519
335,558
336,663
337,558
338,394
339,181
340,71
341,180
342,202
343,177
344,96
345,-90
346,-179
347,68
348,-47
349,-301
350,-148
351,-100
352,-292
353,-391
354,-195
355,-15
356,-174
357,-237
358,-229
359,-237
360,34
361,185
362,124
363,-44
364,-139
365,-13
366,76
367,36
368,28
369,-4
370,-54
371,-198
372,-382
373,-265
374,-423
375,-476
376,-328
377,-470
378,-351
379,-254
380,-410
381,-360
